Day,Workstation,Planned Production Time,Downtime,Operating Time,Ideal Cycle Time,Total Count,Good Count,Rejected Count,Availability,Performance,Quality,OEE,Throughput,Theoretical Capacity,Capacity Utilization
1,Cutting,480,27.49,452.51,0.9,496,486,10,0.9427291666666666,0.986497535966056,0.9798387096774194,0.9112500000000001,486,533.3333333333334,0.9112499999999999
1,Machining,480,52.96,427.04,2.4,166,163,3,0.8896666666666667,0.932933683027351,0.9819277108433735,0.815,163,200.0,0.815
1,Assembly,480,21.16,458.84,1.6,281,276,5,0.9559166666666666,0.9798622613547207,0.9822064056939501,0.9199999999999999,276,300.0,0.92
1,Inspection,480,25.62,454.38,1.0,419,413,6,0.9466249999999999,0.922135657379286,0.9856801909307876,0.8604166666666666,413,480.0,0.8604166666666667
1,Packing,480,22.49,457.51,0.8,535,531,4,0.9531458333333334,0.9354986776245329,0.9925233644859813,0.8850000000000001,531,600.0,0.885
2,Cutting,480,23.67,456.33,0.9,477,468,9,0.9506875,0.9407665505226481,0.9811320754716981,0.8775000000000001,468,533.3333333333334,0.8775
2,Machining,480,47.96,432.04,2.4,169,165,4,0.9000833333333333,0.9388019627812239,0.9763313609467456,0.8249999999999998,165,200.0,0.825
2,Assembly,480,22.79,457.21,1.6,269,265,4,0.9525208333333333,0.9413617374948056,0.9851301115241635,0.8833333333333333,265,300.0,0.8833333333333333
2,Inspection,480,21.84,458.16,1.0,447,444,3,0.9545,0.9756416972236772,0.9932885906040269,0.9249999999999999,444,480.0,0.925
2,Packing,480,17.71,462.29,0.8,556,553,3,0.9631041666666668,0.9621666053775768,0.9946043165467626,0.9216666666666667,553,600.0,0.9216666666666666
3,Cutting,480,32.15,447.85,0.9,464,459,5,0.9330208333333334,0.9324550630791559,0.9892241379310345,0.860625,459,533.3333333333334,0.860625
3,Machining,480,63.47,416.53,2.4,171,166,5,0.8677708333333333,0.9852831728807049,0.9707602339181286,0.83,166,200.0,0.83
3,Assembly,480,26.09,453.91,1.6,263,258,5,0.9456458333333334,0.9270560243220022,0.9809885931558935,0.86,258,300.0,0.86
3,Inspection,480,21.6,458.4,1.0,426,422,4,0.955,0.9293193717277487,0.9906103286384976,0.8791666666666667,422,480.0,0.8791666666666667
3,Packing,480,10.52,469.48,0.8,577,573,4,0.9780833333333334,0.9832154724375906,0.9930675909878682,0.9550000000000001,573,600.0,0.955
4,Cutting,480,33.25,446.75,0.9,468,460,8,0.9307291666666667,0.9428091773922775,0.9829059829059829,0.8625,460,533.3333333333334,0.8624999999999999
4,Machining,480,51.4,428.6,2.4,167,162,5,0.8929166666666667,0.9351376574895007,0.9700598802395209,0.81,162,200.0,0.81
4,Assembly,480,35.5,444.5,1.6,274,268,6,0.9260416666666667,0.9862767154105737,0.9781021897810219,0.8933333333333333,268,300.0,0.8933333333333333
4,Inspection,480,23.97,456.03,1.0,449,446,3,0.9500624999999999,0.9845843475209964,0.9933184855233853,0.9291666666666666,446,480.0,0.9291666666666667
4,Packing,480,12.94,467.06,0.8,539,535,4,0.9730416666666667,0.923221855864343,0.9925788497217068,0.8916666666666667,535,600.0,0.8916666666666667
5,Cutting,480,27.77,452.23,0.9,472,461,11,0.9421458333333333,0.9393450235499635,0.9766949152542372,0.864375,461,533.3333333333334,0.8643749999999999
5,Machining,480,45.7,434.3,2.4,170,166,4,0.9047916666666667,0.9394427814874511,0.9764705882352941,0.83,166,200.0,0.83
5,Assembly,480,22.82,457.18,1.6,279,276,3,0.9524583333333333,0.9764206658209021,0.989247311827957,0.92,276,300.0,0.92
5,Inspection,480,29.8,450.2,1.0,439,436,3,0.9379166666666666,0.9751221679253665,0.9931662870159453,0.9083333333333333,436,480.0,0.9083333333333333
5,Packing,480,10.08,469.92,0.8,574,567,7,0.979,0.9771876064010896,0.9878048780487805,0.945,567,600.0,0.945
6,Cutting,480,34.58,445.42,0.9,482,477,5,0.9279583333333333,0.973912262583629,0.9896265560165975,0.894375,477,533.3333333333334,0.8943749999999999
6,Machining,480,45.75,434.25,2.4,168,163,5,0.9046875,0.9284974093264249,0.9702380952380952,0.815,163,200.0,0.815
6,Assembly,480,32.47,447.53,1.6,264,261,3,0.9323541666666666,0.9438473398431392,0.9886363636363636,0.8700000000000001,261,300.0,0.87
6,Inspection,480,19.66,460.34,1.0,434,429,5,0.9590416666666666,0.9427814224269019,0.988479262672811,0.8937499999999999,429,480.0,0.89375
